,songid,artist,title,releasedate,album,cleaned_title
55,56,BANG CHAN,Mixtape: Gone Days,12/26/2019,GO生,mixtapegonedays
56,57,"BANG CHAN, HAN (Stray Kids), CHANGBIN, J.Y. Park, Herz Analog, 홍지상 (Hong Ji Sang)",Levanter (English Ver.),1/24/2020,Step Out of Clé,levanterenglishversion
57,58,"BANG CHAN, CHANGBIN, HAN (Stray Kids)",Double Knot (English Ver.),1/24/2020,Step Out of Clé,doubleknotenglishversion
58,59,,뱅뱅뱅 (BANG BANG BANG) (Cover),2/10/2020,<single>,bangbangbangcover
59,60,"Inner Child (이너차일드), BANG CHAN, CHANGBIN, HAN (Stray Kids), 윤종성 (Yoon Jong Sung), 송하은 (Song Ha Eun), TOTEM",Get Cool (SKZ2020 Ver.),3/18/2020,SKZ2020,getcoolskz2020ver
60,61,"BANG CHAN, CHANGBIN, HAN (Stray Kids), Trippy (트리피)",잘 하고 있어 (Grow Up) (SKZ2020 Ver.),3/18/2020,SKZ2020,growupskz2020ver
61,62,"HAN (Stray Kids), CHANGBIN, BANG CHAN, 원택 (1Take) (KOR), TAK (탁)",부작용 (Side Effects) (SKZ2020 Ver.),3/18/2020,SKZ2020,sideeffectsskz2020ver
62,63,"BANG CHAN, CHANGBIN, HAN (Stray Kids), ​earattack",YAYAYA (SKZ2020 Ver.),3/18/2020,SKZ2020,yayayaskz2020ver
63,64,"CHANGBIN, HAN (Stray Kids), BANG CHAN, 아르마딜로 (Armadillo)",Hellevator (SKZ2020 Ver.),3/18/2020,SKZ2020,hellevatorskz2020ver
64,65,"BANG CHAN, CHANGBIN, HAN (Stray Kids), Trippy (트리피)",VOICES (SKZ2020 Ver.),3/18/2020,SKZ2020,voicesskz2020ver
65,66,"BANG CHAN, CHANGBIN, HAN (Stray Kids), Trippy (트리피)",어린 날개 (Spread My Wings) (SKZ2020 Ver.),3/18/2020,SKZ2020,spreadmywingsskz2020ver
66,67,"HAN (Stray Kids), CHANGBIN, BANG CHAN, ​earattack, Larmòók",Victory Song (SKZ2020 Ver.),3/18/2020,SKZ2020,victorysongskz2020ver
67,68,"BANG CHAN, CHANGBIN, HAN (Stray Kids), ​earattack, Larmòók, J.Y. Park",My Pace (SKZ2020 Ver.),3/18/2020,SKZ2020,mypaceskz2020ver
